2026-02-08 15:23:29 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:24:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:24:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:24:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:24:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:24:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:24:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:24:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:24:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:25:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:25:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:25:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:25:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:25:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:25:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:25:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:25:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:25:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:25:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:26:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:26:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:26:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:26:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:26:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:26:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:26:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:26:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:27:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:27:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:27:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:27:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:27:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:27:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:27:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:27:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:28:07 | ALERT  | REMOVIDO      | /var/www/shell/readme.txt
2026-02-08 15:28:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:28:07 | INFO   | NOVO/ALTERADO | /var/www/shell/readme.txt
2026-02-08 15:28:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:28:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:28:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:28:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:28:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:28:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:28:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:29:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:29:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:29:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:29:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:29:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:29:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:29:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:29:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:30:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:30:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:30:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:30:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:30:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:30:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:30:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:30:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:31:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:31:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:31:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:31:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:31:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:31:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:31:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:31:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:32:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:32:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
2026-02-08 15:32:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:32:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:32:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_anterior.txt
2026-02-08 15:32:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/hashes_atual.txt
2026-02-08 15:32:07 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:32:07 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/seg_v4.log
2026-02-08 15:33:04 | ALERT  | REMOVIDO      | /var/www/shell/seguranca/cron.log
2026-02-08 15:33:04 | INFO   | NOVO/ALTERADO | /var/www/shell/seguranca/cron.log
